raw_ingredients,simplified_ingredients
cayenne pepper,cayenne pepper
baharat,baharat
black mustard seeds,mustard seeds
ground turmeric,ground turmeric
fennel seeds,fennel seeds
ground cumin,ground cumin
baharat seasoning,baharat
sesame seeds,sesame seeds
fine salt,salt
cinnamon,cinnamon sticks 
dried bay leaves,dried bay leaves
mixed spice,mixed spice
smoked paprika,smoked paprika
chilli flakes,crushed chillies
white pepper,black pepper
dried parsley,dried parsley
granulated garlic,garlic granules
garlic granules,garlic granules
onion granules,onion granules
paprika,paprika
crushed chillies,crushed chillies
black sesame seeds,black sesame seeds
ras el hanout,ras el hanout
mild curry powder,curry powder
cumin seeds,cumin seeds
ground cinnamon,ground cinnamon
ground coriander,ground coriander
garam masala,garam masala
hot curry powder,curry powder
mild chilli powder,chilli powder
fajita spice,fajita spice
dried oregano,dried oregano
ground ginger,ground ginger
hot chilli powder,chilli powder
dried rosemary,dried rosemary
flaky sea salt,salt
English mustard powder ,yellow mustard
cardamom ,cardamom
medium curry powder,curry powder
turmeric,ground turmeric
salt,salt
nutmeg,nutmeg
sea salt,salt
black peppercorns,black pepper
chilli powder,chilli powder
coriander seeds,coriander seeds
fenugreek seeds,fenugreek seeds
mustard seeds,mustard seeds
peppercorns,black pepper
freshly ground black pepper,black pepper
caraway seeds,caraway seeds
sweet smoked paprika,smoked paprika
smoked sea salt flakes,salt
sundried tomatoes,sundried tomatoes
cajun spice mix,cajun spice mix
garlic lemon and herb seasoning mix,garlic granules
cumin,ground cumin
