Relevance,Brand,Description,Size,Price,Price per unit,Link
1,Sainsbury's,British Fresh Chicken Breast Fillets Skinless & Boneless,300g,2.5,£0.83 per 100g,https://www.trolley.co.uk/product/sainsburys-british-fresh-chicken-breast-fillets-skinless-boneless/UIS795
18,Aldi Ashfields,Ashfields Southern Fried Chicken Breast Fillets,350g2,2.99,£0.43 per 100g,https://www.trolley.co.uk/product/ashfields-southern-fried-chicken-breast-fillets/BIL280
16,Aldi Nature's Glen,Nature's Glen Scottish Chicken Breast Mini Fillets,400g,3.15,£0.79 per 100g,https://www.trolley.co.uk/product/natures-glen-scottish-chicken-breast-mini-fillets/GVE952
8,Aldi Specially Selected,Specially Selected Free Range Corn Fed Chicken Thigh Fillets Fresh Class A,375g,3.15,£0.84 per 100g,https://www.trolley.co.uk/product/specially-selected-free-range-corn-fed-chicken-thigh-fillets-fresh-class-a/CQY494
11,Aldi Ashfields,Ashfields 100% British Chicken Breast Mini Fillets Fresh Class A,400g,3.15,£0.79 per 100g,https://www.trolley.co.uk/product/ashfields-100-british-chicken-breast-mini-fillets-fresh-class-a/UBW835
14,Aldi Nature's Glen,Nature's Glen Scottish Diced Chicken Breast Fillets,400g,3.15,£0.79 per 100g,https://www.trolley.co.uk/product/natures-glen-scottish-diced-chicken-breast-fillets/ALT558
6,Aldi Nature's Glen,Nature's Glen Scottish Chicken Breast Fillets Fresh Class A,650g,4.49,£0.69 per 100g,https://www.trolley.co.uk/product/natures-glen-scottish-chicken-breast-fillets-fresh-class-a/WTQ458
10,Aldi Specially Selected,Specially Selected Free Range Corn Fed Chicken Breast Fillets,350g,4.49,£1.28 per 100g,https://www.trolley.co.uk/product/specially-selected-free-range-corn-fed-chicken-breast-fillets/AOJ195
15,Sainsbury's,Corn Fed British Chicken Skin on Breast fillets (approx.370g),,4.72,,https://www.trolley.co.uk/product/sainsburys-corn-fed-british-chicken-skin-on-breast-fillets-approx-370g/GFA859
12,Sainsbury's,British Fresh Chicken Thigh Fillets Skinless & Boneless,640g,5.15,£0.80 per 100g,https://www.trolley.co.uk/product/sainsburys-british-fresh-chicken-thigh-fillets-skinless-boneless/XPJ000
3,M&S,Select Farms British Free Range Corn Fed Mini Chicken Fillets Typically:,265g,5.17,£1.95 per 100g,https://www.trolley.co.uk/product/m-s-select-farms-british-free-range-corn-fed-mini-chicken-fillets-typically/WQS568
13,M&S,Select Farms British Free Range 2 Chicken Breast Fillets Typically:,295g,5.64,£1.91 per 100g,https://www.trolley.co.uk/product/m-s-select-farms-british-free-range-2-chicken-breast-fillets-typically/WNA028
0,Willow Farms,Willow Farm Chicken Breast Portions -1.2Kg,900g,5.97,£0.66 per 100g,https://www.trolley.co.uk/product/willow-farm-chicken-breast-portions-1-2kg/IXJ962
7,Aldi Ashfields,Ashfields British Chicken Breast Fillets Large Pack Fresh Class A,1kg,6.39,£0.64 per 100g,https://www.trolley.co.uk/product/ashfields-british-chicken-breast-fillets-large-pack-fresh-class-a/RED449
17,M&S,Select Farms Free Range Chicken Thighs Skinless & Boneless Typically:,400g,7.0,£1.75 per 100g,https://www.trolley.co.uk/product/m-s-select-farms-free-range-chicken-thighs-skinless-boneless-typically/QMW027
19,Tesco,Room To Roam British Chicken Breast Fillets,650g,7.5,£1.15 per 100g,https://www.trolley.co.uk/product/tesco-room-to-roam-british-chicken-breast-fillets/ZIN211
9,The Black Farmer,Corn Fed Free Range Skinless Chicken Breast Fillets Typically:,360g,8.57,£2.38 per 100g,https://www.trolley.co.uk/product/the-black-farmer-corn-fed-free-range-skinless-chicken-breast-fillets-typically/CVW352
2,Aldi Specially Selected,Specially Selected British Free Range Corn Fed Whole Chicken Fresh Class A Without Giblets Typically,1.9kg,9.1,£0.48 per 100g,https://www.trolley.co.uk/product/specially-selected-british-free-range-corn-fed-whole-chicken-fresh-class-a-without-giblets-typically/OJY024
5,Aldi Ashfields,Ashfields British Chicken Breast Fillets Fresh Class A,2kg,11.99,£0.60 per 100g,https://www.trolley.co.uk/product/ashfields-british-chicken-breast-fillets-fresh-class-a/VHW173
4,Iceland,Class A Fresh Chicken Breast Fillets Skinless and Boneless,4.5kg,25.0,£0.56 per 100g,https://www.trolley.co.uk/product/iceland-class-a-fresh-chicken-breast-fillets-skinless-and-boneless/QWI880
